parcel_id,mill_id,crop_type,area_hectares,sowing_date,date,ndvi_value,ndvi_flag,temperature_c,rainfall_mm,sensor_status
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-01,0.17,false,33.9,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-02,0.214,false,20.9,8.4,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-03,0.118,false,27.5,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-04,0.342,false,27.0,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-05,0.083,false,19.9,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-06,0.232,false,34.0,6.2,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-07,0.184,false,23.0,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-08,,true,15.5,0.0,ERROR
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-10,0.206,false,33.8,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-11,0.141,false,23.7,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-12,0.077,false,32.3,4.1,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-13,0.185,false,32.3,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-14,0.214,false,32.1,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-15,0.143,false,30.8,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-16,0.231,false,34.5,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-17,0.21,false,32.2,3.6,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-18,0.113,false,33.0,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-19,0.092,false,29.5,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-21,0.295,false,35.1,2.7,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-22,,true,29.3,0.0,ERROR
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-23,0.234,false,19.4,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-24,0.27,false,16.2,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-25,0.275,false,29.3,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-26,0.151,false,22.6,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-27,0.291,false,28.9,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-28,0.224,false,33.7,5.7,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-29,0.294,false,23.5,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-30,0.212,false,19.2,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-01-31,0.213,false,23.2,8.2,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-02-01,0.186,false,15.8,0.0,OK
PARCEL_001,MILL_NORTH,sugarcane,9.03,2026-02-10,2026-02-03,0.164,false,35.0,0.0,OK
